Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
O14910,Q9NUP9			4535636.59670637	
O14925			5614830.91666667	
O14925,Q5SRD1			9443812.07291667	
O14929			46636306.2351154	
O14936			921316.373357131	
O14949			33126387.2297124	
O14950			2131849.68297162	
O14950,P19105			70527155.390816	
O14950,P19105,P24844			78606102.1794952	
O14957			5973429.33649833	
O14964			13728053.1468936	
O14974			16868198.6770833	
O14976			2848107.95128731	
O14979			157227277	
O14979,Q14103			65970524.6666667	
O14979,Q14103,Q99729			151568078	
O14980			87449815.9284237	
O14981			4437197.5719552	
O14983,P16615			26387576.6224115	
O14983,P16615,Q93084			26020343.6829435	
O15013			6345783.48459271	
O15020			7739440.26450461	
O15020,P11277,Q01082			16539248.1380617	
O15020,Q01082			14183691.894184	
O15021,O60307,O75582,O75676,P51812,Q15349,Q15418,Q6P0Q8,Q86UE8,Q96GX5,Q96NX5,Q9UK32,Q9UKI8,Q9Y2H9			6769946.5625	
O15027			25190499.8542469	
O15031			8966381.40625	
O15042			17343945.90625	
O15067			64068902.0833333	
O15083,Q8IUD2			837969.644905448	
O15116			6344101.00147851	
O15118			7232242.5	
O15126			7900642.05167418	
O15131,O60684			10526678.8644036	
O15131,O60684,P52294			19634417.8642143	
O15143			53868031.163647	
O15143,Q92747			10245988.9583333	
O15144			62243951.8125	
O15145			91253630.1666667	
O15160			13646849.3088425	
O15173			18688249.1155264	
O15198,P84022,Q15796			3435212.88451949	
O15212			6194320.14583333	
O15213			2318483.03044158	
O15226			9604175.81706618	
O15235			3164183.91666667	
O15260			23612022.5104167	
O15269			12420228.6813579	
O15270			2540117.625	
O15294			16378613.3978713	
O15305			32366729.4169594	
O15347			23820496.3837354	
O15355			48633594.2518913	
O15357			16055572.875186	
O15357,Q92835			3933203.46648884	
O15371			38180292.1666667	
O15372			48001469.7291667	
O15379			1715924.359375	
O15381			6868053.40625	
O15382			176026077.148742	
O15397			8946698.45097699	
O15397,O95373			6792428.0625	
O15405,O94842,Q96NM4			1455476.64191523	
O15446			5141367.76444303	
O15460			21301384.4375	
O15498			13406696.9416044	
O15511			71823108.75	
O15514			2196265.8125	
O15533			0	
O15541			0	
O43143			60242204.75	
O43143,O60231,Q14562			14884223	
O43156			6716233.98568958	
O43159			5957117.1979962	
O43169			7092065.58929353	
O43172			13656207.013736	
O43175			245012051	
O43181			5670163.91666667	
O43237			14931498.0833333	
O43237,Q9Y6G9			1588372.68086211	
O43242			44671382.2478601	
O43252			27717214.2875564	
O43252,O95340			14243277.5560324	
O43264			13702555.2135396	
O43290			11986608.7004082	
O43292			1545236.39448338	
O43294			4837419.38499097	
O43318			742344.719005638	
O43324			39805868.2595265	
O43347,Q96DH6			3914989.64583333	
O43390			135557437	
O43390,O60506			224227359.5	
O43395			12016111.2482178	
O43396			33498113.7148196	
O43399			60874804.8333333	
O43402			0	
O43414			2775577.29817169	
O43423,P39687			5646520.38221892	
O43432			6933167.96934616	
O43432,Q04637			40445754.8125	
O43447			17802160.9166667	
O43464			2235474.03151399	
O43488			11578107.5178416	
O43488,Q8NHP1			16239361	
O43491			28316235.1875	
O43491,Q9H4G0,Q9Y2J2			5809739.75590825	
O43504			12055773.8125	
O43516			1133950.70104825	
O43583			6747980.48629276	
O43592			16694472.453125	
O43598			3698075.24472588	
O43615			19175720.0265309	
O43617			8085998.63335241	
O43633			23112749.0416667	
O43660			10628068.1965367	
O43665			1050493.61923075	
O43670			44497383.2780563	
O43674			12287031.3342897	
O43676			10797431.6875	
O43678			9562524.26020495	
O43681			26252247.1440501	
O43684			48984343.375	
O43707			480146595	
O43707,P12814			617833612.666667	
O43707,P12814,P35609			283287395.916667	
O43707,P12814,P35609,Q08043			257807192.666667	
O43707,P35609			57284455.6666667	
O43707,Q9H254			59626085.5793342	
O43709			10255287.1871777	
O43715			4478817.29305433	
O43719			8265254.83819651	
O43747			18069243.2344712	
O43760			2972176.08139037	
O43765			28109240	
O43768			22414501.140751	
O43768,P56211			17733151.6875	
O43772			14674000.1595551	
O43776			65129362.676916	
O43790,O95678,P02538,P04259,P05787,P08670,P08729,P12035,P13647,P14136,P48668,P78385,P78386,Q01546,Q14533,Q5XKE5,Q8N1N4,Q9NSB2			385156474.666667	
O43795			13386780.2347114	
O43809			36495620.6429545	
O43813			42995890.6666667	
O43818			10246664.238124	
O43819			4787530.48440197	
O43823			3931906.4181885	
O43837			12794925.089508	
O43847			15982615.5824403	
O43852			197580064	
O43854			5735590.8015721	
O43865			39754890.0134674	
O43865,Q96HN2			44123116.7083333	
O43896,O60333,Q12756			2222941.98958333	
O43913			5877750.74735003	
O43920			9683506.32478072	
O43929			6986294.40690762	
O43933,P55072,Q8IYT4			7137895.50444054	
O60216			23041927.0043331	
O60216,Q9H4I0			4938251.58333333	
O60220			23093774.4479167	
O60231			3135913.34375	
O60234,P60983			15126031.5	
O60256			18978423.5366748	
O60264			29171695.2083333	
O60264,P28370			34148251.75	
O60271			11989635.3375505	
O60282,P33176			4654396.33333333	
O60282,P33176,Q12840			40242248.875	
O60306			14472238.8713382	
O60313			12090274.0242868	
O60341			9521060.82499601	
O60343			8284248.02394988	
O60361,P15531,P22392			235080958.583333	
O60361,P22392			262195300.166667	
O60427			28505117.5416667	
O60437			14507261.7773032	
O60443			7678324.81086966	
O60488			13972075.3741945	
O60493			39696798.1041667	
O60502			14475390.7694487	
O60506			151889198.65163	
O60508			2154002.13541667	
O60518			4122378.76255602	
